event_date,attack_count,cumulative_attack_count
2026-05-04,96,96.0
2026-05-05,82,178.0
2026-05-06,98,276.0
2026-05-07,93,369.0
2026-05-08,201,570.0
2026-05-09,214,784.0
2026-05-10,194,978.0
2026-05-11,208,1186.0
2026-05-12,198,1384.0
2026-05-13,212,1596.0
2026-05-14,182,1778.0
2026-05-15,217,1995.0
2026-05-16,197,2192.0
2026-05-17,198,2390.0
2026-05-18,530,2920.0
2026-05-19,540,3460.0
2026-05-20,472,3932.0
2026-05-21,492,4424.0
2026-05-22,469,4893.0
2026-05-23,502,5395.0
2026-05-24,476,5871.0
2026-05-25,500,6371.0
2026-05-26,455,6826.0
2026-05-27,483,7309.0
2026-05-28,551,7860.0
2026-05-29,539,8399.0
2026-05-30,520,8919.0
2026-05-31,515,9434.0
2026-06-01,462,9896.0
2026-06-02,504,10400.0
2026-06-03,409,10809.0
2026-06-04,403,11212.0
2026-06-05,430,11642.0
2026-06-06,414,12056.0
2026-06-07,313,12369.0
2026-06-08,313,12682.0
2026-06-09,297,12979.0
2026-06-10,323,13302.0
2026-06-11,295,13597.0
2026-06-12,331,13928.0
2026-06-13,301,14229.0
2026-06-14,312,14541.0
2026-06-15,304,14845.0
2026-06-16,317,15162.0
2026-06-17,37,15199.0
2026-07-17,170,15369.0
2026-07-18,329,15698.0
2026-07-19,413,16111.0
2026-07-20,404,16515.0
2026-07-21,391,16906.0
2026-07-22,412,17318.0
2026-07-23,429,17747.0
2026-07-24,380,18127.0
2026-07-25,377,18504.0
2026-07-26,413,18917.0
2026-07-27,361,19278.0
2026-07-28,374,19652.0
2026-07-29,434,20086.0
2026-07-30,390,20476.0
2026-07-31,417,20893.0
2026-08-01,430,21323.0
2026-08-02,423,21746.0
2026-08-03,384,22130.0
2026-08-04,416,22546.0
2026-08-05,398,22944.0
2026-08-06,390,23334.0
2026-08-07,401,23735.0
2026-08-08,385,24120.0
2026-08-09,402,24522.0
2026-08-10,385,24907.0
2026-08-11,407,25314.0
2026-08-12,375,25689.0
2026-08-13,406,26095.0
2026-08-14,399,26494.0
2026-08-15,394,26888.0
2026-08-16,218,27106.0
2026-08-17,25,27131.0
