event_type,severity,country,hour_of_day,is_attack_event,is_business_hours
successful_login,low,GB,14,False,True
privilege_escalation,high,US,19,True,False
vpn_login,high,SG,17,False,False
brute_force_attempt,high,GB,8,True,False
malware_alert,high,FR,11,True,True
suspicious_ip_activity,critical,JP,19,True,False
successful_login,medium,DE,13,False,True
suspicious_ip_activity,high,IN,21,True,False
account_lockout,medium,AU,17,False,False
brute_force_attempt,medium,CA,20,True,False
account_lockout,medium,US,20,False,False
brute_force_attempt,medium,JP,16,True,True
vpn_login,medium,AU,21,False,False
successful_login,low,AU,19,False,False
account_lockout,low,US,17,False,False
brute_force_attempt,critical,SG,19,True,False
malware_alert,medium,AU,16,True,True
failed_login,low,US,3,False,False
failed_login,high,KR,14,False,True
successful_login,low,DE,21,False,False
privilege_escalation,medium,CA,15,True,True
suspicious_ip_activity,low,US,21,True,False
successful_login,medium,US,5,False,False
brute_force_attempt,medium,JP,14,True,True
failed_login,critical,KI,16,False,True
successful_login,critical,JP,14,False,True
vpn_login,low,JP,1,False,False
failed_login,high,US,19,False,False
suspicious_ip_activity,high,IN,16,True,True
malware_alert,medium,JP,14,True,True
failed_login,low,FR,16,False,True
failed_login,low,US,19,False,False
successful_login,high,AU,6,False,False
successful_login,low,JP,19,False,False
failed_login,low,US,5,False,False
successful_login,low,DE,21,False,False
vpn_login,low,US,15,False,True
suspicious_ip_activity,low,FR,21,True,False
account_lockout,low,SG,20,False,False
privilege_escalation,medium,FR,21,True,False
successful_login,medium,US,10,False,True
vpn_login,critical,FR,17,False,False
successful_login,high,US,8,False,False
suspicious_ip_activity,critical,DE,21,True,False
successful_login,low,AU,14,False,True
brute_force_attempt,critical,CA,20,True,False
brute_force_attempt,medium,IN,17,True,False
successful_login,medium,IN,14,False,True
successful_login,low,US,16,False,True
failed_login,critical,US,14,False,True
vpn_login,low,CA,15,False,True
failed_login,medium,DE,0,False,False
account_lockout,low,AU,5,False,False
brute_force_attempt,critical,DE,21,True,False
failed_login,medium,US,18,False,False
successful_login,low,JP,20,False,False
account_lockout,low,FR,19,False,False
successful_login,high,US,21,False,False
failed_login,low,DE,18,False,False
successful_login,medium,AU,14,False,True
privilege_escalation,high,US,5,True,False
suspicious_ip_activity,high,DE,17,True,False
failed_login,high,US,14,False,True
vpn_login,critical,BR,15,False,True
successful_login,high,US,15,False,True
privilege_escalation,medium,BR,4,True,False
suspicious_ip_activity,high,US,21,True,False
successful_login,medium,CA,20,False,False
suspicious_ip_activity,critical,DE,16,True,True
vpn_login,low,SG,15,False,True
suspicious_ip_activity,high,JP,16,True,True
failed_login,high,US,16,False,True
successful_login,low,US,19,False,False
failed_login,high,CA,22,False,False
account_lockout,medium,IN,18,False,False
failed_login,high,NP,4,False,False
malware_alert,low,GB,21,True,False
failed_login,low,BR,15,False,True
account_lockout,critical,GB,3,False,False
account_lockout,low,US,14,False,True
suspicious_ip_activity,medium,DE,22,True,False
failed_login,low,SG,20,False,False
malware_alert,medium,AU,21,True,False
failed_login,low,US,18,False,False
vpn_login,high,GB,23,False,False
vpn_login,low,AU,20,False,False
privilege_escalation,critical,AU,17,True,False
suspicious_ip_activity,critical,CA,14,True,True
malware_alert,critical,DE,17,True,False
failed_login,high,GB,12,False,True
brute_force_attempt,high,AU,2,True,False
failed_login,medium,US,15,False,True
failed_login,medium,AU,21,False,False
vpn_login,medium,US,15,False,True
successful_login,medium,GB,18,False,False
successful_login,medium,US,19,False,False
vpn_login,low,CA,23,False,False
account_lockout,high,US,22,False,False
successful_login,high,DE,15,False,True
privilege_escalation,high,US,21,True,False
malware_alert,high,CA,21,True,False
failed_login,critical,DE,15,False,True
vpn_login,low,JP,18,False,False
vpn_login,medium,AU,2,False,False
brute_force_attempt,high,US,2,True,False
failed_login,medium,CA,19,False,False
successful_login,medium,DE,1,False,False
malware_alert,low,DE,2,True,False
privilege_escalation,low,US,21,True,False
malware_alert,critical,AU,10,True,True
successful_login,medium,DE,21,False,False
privilege_escalation,high,BR,19,True,False
successful_login,medium,GB,14,False,True
privilege_escalation,high,JP,16,True,True
account_lockout,medium,CA,15,False,True
vpn_login,low,US,16,False,True
vpn_login,medium,GB,21,False,False
suspicious_ip_activity,medium,JP,7,True,False
malware_alert,medium,US,18,True,False
privilege_escalation,critical,AU,2,True,False
failed_login,medium,US,1,False,False
successful_login,low,US,12,False,True
successful_login,low,BR,17,False,False
failed_login,low,JP,17,False,False
account_lockout,medium,US,10,False,True
suspicious_ip_activity,critical,FR,20,True,False
failed_login,high,AU,14,False,True
successful_login,high,FR,10,False,True
successful_login,low,AU,17,False,False
privilege_escalation,critical,DE,16,True,True
failed_login,low,US,1,False,False
brute_force_attempt,critical,US,2,True,False
brute_force_attempt,high,CA,15,True,True
failed_login,low,US,19,False,False
successful_login,medium,US,17,False,False
malware_alert,high,JP,17,True,False
malware_alert,high,US,19,True,False
successful_login,medium,FR,23,False,False
failed_login,medium,BR,23,False,False
account_lockout,medium,US,19,False,False
successful_login,low,US,19,False,False
account_lockout,medium,DE,16,False,True
brute_force_attempt,medium,US,6,True,False
failed_login,medium,US,21,False,False
successful_login,high,JP,9,False,True
failed_login,critical,US,18,False,False
malware_alert,medium,US,14,True,True
failed_login,medium,GB,20,False,False
vpn_login,high,US,6,False,False
failed_login,medium,CA,21,False,False
suspicious_ip_activity,critical,DE,22,True,False
successful_login,medium,SG,2,False,False
suspicious_ip_activity,critical,AU,15,True,True
successful_login,high,SG,14,False,True
failed_login,medium,US,14,False,True
failed_login,high,US,11,False,True
failed_login,medium,US,17,False,False
failed_login,low,CA,12,False,True
vpn_login,low,BR,5,False,False
suspicious_ip_activity,high,GB,20,True,False
successful_login,medium,US,18,False,False
vpn_login,medium,SG,18,False,False
vpn_login,low,IN,16,False,True
privilege_escalation,medium,AU,20,True,False
suspicious_ip_activity,critical,US,19,True,False
privilege_escalation,medium,US,18,True,False
vpn_login,high,CA,19,False,False
malware_alert,critical,US,20,True,False
vpn_login,low,US,7,False,False
failed_login,low,US,1,False,False
failed_login,critical,CA,18,False,False
vpn_login,medium,AU,17,False,False
vpn_login,medium,JP,21,False,False
account_lockout,low,CA,19,False,False
malware_alert,medium,GB,4,True,False
vpn_login,low,US,18,False,False
failed_login,high,US,12,False,True
failed_login,medium,GB,21,False,False
failed_login,medium,US,10,False,True
successful_login,medium,US,14,False,True
failed_login,high,US,19,False,False
brute_force_attempt,medium,CA,21,True,False
successful_login,medium,US,18,False,False
privilege_escalation,medium,US,18,True,False
failed_login,medium,CA,16,False,True
failed_login,low,GB,6,False,False
account_lockout,medium,US,16,False,True
failed_login,high,AU,13,False,True
account_lockout,low,DE,2,False,False
failed_login,critical,US,16,False,True
account_lockout,low,US,16,False,True
failed_login,medium,GB,19,False,False
failed_login,low,US,4,False,False
successful_login,low,US,19,False,False
failed_login,high,US,15,False,True
successful_login,high,AU,19,False,False
successful_login,low,DE,18,False,False
suspicious_ip_activity,high,DE,16,True,True
malware_alert,high,SG,16,True,True
successful_login,critical,DE,15,False,True
successful_login,high,US,21,False,False
successful_login,high,BR,17,False,False
successful_login,low,CA,16,False,True
vpn_login,low,US,16,False,True
vpn_login,low,GB,18,False,False
vpn_login,low,US,15,False,True
successful_login,low,US,14,False,True
suspicious_ip_activity,critical,IN,11,True,True
failed_login,high,IN,17,False,False
failed_login,medium,DE,20,False,False
brute_force_attempt,high,US,9,True,True
suspicious_ip_activity,critical,DE,20,True,False
vpn_login,low,GB,18,False,False
failed_login,low,IN,21,False,False
successful_login,low,US,12,False,True
privilege_escalation,critical,US,19,True,False
successful_login,low,US,18,False,False
successful_login,low,GB,17,False,False
brute_force_attempt,low,US,7,True,False
successful_login,medium,DE,13,False,True
failed_login,high,DE,16,False,True
vpn_login,medium,GB,21,False,False
successful_login,high,AU,14,False,True
successful_login,high,GB,20,False,False
failed_login,high,CA,7,False,False
successful_login,medium,AU,16,False,True
failed_login,high,DE,17,False,False
brute_force_attempt,high,US,16,True,True
successful_login,critical,US,15,False,True
failed_login,medium,CA,14,False,True
suspicious_ip_activity,medium,GB,4,True,False
malware_alert,medium,GB,21,True,False
successful_login,medium,DE,8,False,False
malware_alert,medium,US,22,True,False
suspicious_ip_activity,high,CA,7,True,False
brute_force_attempt,medium,GB,20,True,False
successful_login,low,US,17,False,False
account_lockout,low,US,15,False,True
successful_login,medium,DE,14,False,True
vpn_login,high,GB,23,False,False
failed_login,medium,GB,16,False,True
account_lockout,medium,JP,19,False,False
malware_alert,high,US,20,True,False
failed_login,medium,JP,20,False,False
failed_login,low,GB,18,False,False
account_lockout,medium,US,16,False,True
vpn_login,medium,US,1,False,False
malware_alert,high,FR,23,True,False
brute_force_attempt,high,US,21,True,False
vpn_login,low,US,22,False,False
successful_login,medium,DE,17,False,False
successful_login,medium,GB,19,False,False
successful_login,high,FR,18,False,False
account_lockout,low,CA,21,False,False
privilege_escalation,high,JP,17,True,False
successful_login,low,AU,17,False,False
failed_login,medium,JP,17,False,False
account_lockout,medium,GB,20,False,False
suspicious_ip_activity,critical,US,20,True,False
suspicious_ip_activity,high,US,19,True,False
vpn_login,medium,US,17,False,False
suspicious_ip_activity,high,DE,18,True,False
failed_login,high,FR,3,False,False
vpn_login,medium,GB,14,False,True
malware_alert,critical,GB,15,True,True
failed_login,low,IN,5,False,False
vpn_login,medium,US,21,False,False
vpn_login,critical,US,16,False,True
failed_login,high,CA,15,False,True
successful_login,low,DE,16,False,True
suspicious_ip_activity,high,US,16,True,True
account_lockout,low,US,18,False,False
failed_login,low,FR,15,False,True
successful_login,medium,US,5,False,False
failed_login,critical,GB,23,False,False
failed_login,low,US,9,False,True
successful_login,high,SG,17,False,False
suspicious_ip_activity,medium,US,13,True,True
failed_login,high,JP,12,False,True
failed_login,low,IN,17,False,False
brute_force_attempt,medium,GB,0,True,False
successful_login,high,DE,16,False,True
privilege_escalation,high,CA,14,True,True
suspicious_ip_activity,medium,US,14,True,True
vpn_login,low,US,2,False,False
malware_alert,high,FR,18,True,False
suspicious_ip_activity,high,US,1,True,False
successful_login,low,DE,6,False,False
failed_login,medium,GB,3,False,False
vpn_login,medium,AU,20,False,False
successful_login,high,BR,16,False,True
vpn_login,low,US,20,False,False
account_lockout,medium,US,3,False,False
successful_login,low,US,5,False,False
brute_force_attempt,medium,US,21,True,False
malware_alert,high,US,20,True,False
vpn_login,high,US,15,False,True
failed_login,low,BR,18,False,False
vpn_login,low,IN,20,False,False
successful_login,low,CA,8,False,False
vpn_login,low,SG,18,False,False
vpn_login,high,GB,14,False,True
account_lockout,high,JP,15,False,True
successful_login,low,JP,17,False,False
successful_login,critical,US,19,False,False
malware_alert,medium,US,8,True,False
failed_login,low,IN,14,False,True
failed_login,low,DE,17,False,False
vpn_login,medium,GB,18,False,False
brute_force_attempt,high,IN,20,True,False
vpn_login,low,FR,12,False,True
vpn_login,high,US,18,False,False
vpn_login,medium,DE,13,False,True
privilege_escalation,high,DE,19,True,False
suspicious_ip_activity,high,IN,16,True,True
successful_login,low,IN,9,False,True
account_lockout,medium,US,16,False,True
successful_login,low,US,5,False,False
malware_alert,high,DE,20,True,False
privilege_escalation,medium,US,20,True,False
malware_alert,critical,GB,13,True,True
suspicious_ip_activity,high,IN,22,True,False
vpn_login,low,US,14,False,True
failed_login,high,AU,21,False,False
vpn_login,low,US,19,False,False
vpn_login,medium,CA,9,False,True
brute_force_attempt,critical,US,16,True,True
account_lockout,medium,US,16,False,True
malware_alert,low,DE,12,True,True
brute_force_attempt,critical,US,21,True,False
privilege_escalation,critical,DE,13,True,True
failed_login,medium,US,20,False,False
successful_login,critical,US,18,False,False
privilege_escalation,critical,US,4,True,False
successful_login,low,US,21,False,False
failed_login,medium,US,21,False,False
failed_login,critical,LU,21,False,False
suspicious_ip_activity,low,DE,16,True,True
